name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,selling_price_lakhs,engine_bin,mileage_bin,car_age,fuel_encoded,seller_type_encoded,transmission_encoded,owner_encoded,engine_bin_encoded,mileage_bin_encoded
Volkswagen Ameo 1.5 TDI Comfortline,2017,500000.0,80000.0,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,5.0,1000-1500cc,20-25 kmpl,7,1,1,1,0,0,2
Maruti Vitara Brezza VDi,2016,745000.0,70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,7.45,1000-1500cc,20-25 kmpl,8,1,1,1,0,0,2
Maruti Vitara Brezza ZDi Plus AMT,2019,1025000.0,11500.0,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,10.25,1000-1500cc,20-25 kmpl,5,1,1,0,0,0,2
Hyundai i10 Magna,2011,235000.0,60000.0,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,2.35,1000-1500cc,20-25 kmpl,13,3,1,1,2,0,2
Maruti Swift VDI Deca,2016,630000.0,70000.0,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,6.3,1000-1500cc,25-30 kmpl,8,1,1,1,0,0,3
Toyota Fortuner 4x4 MT,2015,1200000.0,78000.0,Diesel,Individual,Manual,Second Owner,12.55,2982.0,147.9,7.0,12.0,2500-3000cc,10-15 kmpl,9,1,1,1,2,3,0
Maruti Swift Star VDI,2013,450000.0,120000.0,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,4.5,1000-1500cc,20-25 kmpl,11,1,1,1,2,0,2
Maruti Ertiga ZXI,2012,450000.0,120000.0,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,4.5,1000-1500cc,15-20 kmpl,12,3,1,1,2,0,1
Volkswagen Vento Diesel Highline,2013,450000.0,155000.0,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,4.5,1500-2000cc,20-25 kmpl,11,1,1,1,0,1,2
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000.0,140000.0,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,7.0,12.0,2000-2500cc,10-15 kmpl,8,1,1,1,0,2,0
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000.0,90000.0,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,6.1,1000-1500cc,20-25 kmpl,9,1,1,1,0,0,2
BMW X1 sDrive20i xLine,2016,1200000.0,30000.0,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,147.9,5.0,12.0,1500-2000cc,15-20 kmpl,8,3,1,0,2,1,1
Maruti Celerio ZXI MT BSIV,2017,484999.0,11500.0,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0,4.84999,<1000cc,20-25 kmpl,7,3,0,1,0,4,2
Datsun GO A Petrol,2016,275000.0,49000.0,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0,2.75,1000-1500cc,15-20 kmpl,8,3,0,1,0,0,1
Maruti Alto 800 VXI BSIV,2016,315000.0,32000.0,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,3.15,<1000cc,20-25 kmpl,8,3,0,1,0,4,2
Maruti Alto 800 LXI BSIV,2016,275000.0,38000.0,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,2.75,<1000cc,20-25 kmpl,8,3,0,1,0,4,2
Hyundai i10 Era 1.1,2012,290000.0,28000.0,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0,2.9,1000-1500cc,15-20 kmpl,12,3,0,1,0,0,1
Maruti Omni 8 Seater BSIV,2017,280000.0,32000.0,Petrol,Dealer,Manual,First Owner,14.0,796.0,47.3,5.0,2.8,<1000cc,10-15 kmpl,7,3,0,1,0,4,0
Maruti Wagon R LXI LPG BSIV,2010,225000.0,44000.0,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5.0,2.25,<1000cc,25-30 kmpl,14,2,0,1,0,4,3
Volkswagen Polo 1.2 MPI Comfortline,2015,455000.0,42000.0,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0,4.55,1000-1500cc,15-20 kmpl,9,3,0,1,0,0,1
Hyundai i10 Magna 1.1L,2015,351000.0,45000.0,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0,3.51,1000-1500cc,15-20 kmpl,9,3,0,1,2,0,1
Volkswagen Vento Petrol Highline,2012,535000.0,12000.0,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0,5.35,1500-2000cc,15-20 kmpl,12,3,0,1,2,1,1
Maruti Zen Estilo LXI BSIII,2009,175000.0,55500.0,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,1.75,<1000cc,15-20 kmpl,15,3,0,1,0,4,1
Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000.0,61500.0,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0,5.25,1000-1500cc,15-20 kmpl,11,3,0,1,0,0,1
Maruti Swift Dzire LDI,2016,600000.0,150000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,6.0,1000-1500cc,25-30 kmpl,8,1,1,1,0,0,3
Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000.0,72000.0,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0,5.65,1000-1500cc,15-20 kmpl,8,3,0,0,0,0,1
Maruti Alto LX BSIII,2008,120000.0,68000.0,Petrol,Dealer,Manual,Third Owner,19.7,796.0,47.3,5.0,1.2,<1000cc,15-20 kmpl,16,3,0,1,4,4,1
Hyundai i20 1.4 Asta Option,2017,725000.0,110000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,7.25,1000-1500cc,20-25 kmpl,7,1,1,1,0,0,2
Maruti Wagon R VXI,2009,185000.0,77000.0,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0,1.85,<1000cc,20-25 kmpl,15,3,0,1,2,4,2
Tata Manza Aura (ABS) Quadrajet,2010,200000.0,100000.0,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0,2.0,1000-1500cc,15-20 kmpl,14,1,1,1,2,0,1
Maruti Swift VXI,2019,615000.0,11500.0,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,6.15,1000-1500cc,20-25 kmpl,5,3,1,1,0,0,2
Maruti Eeco 7 Seater Standard BSIV,2016,270000.0,100000.0,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7.0,2.7,1000-1500cc,15-20 kmpl,8,3,1,1,4,0,1
Maruti Baleno Zeta 1.2,2018,610000.0,35000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,6.1,1000-1500cc,20-25 kmpl,6,3,1,1,0,0,2
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000.0,70000.0,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,7.0,6.25,2000-2500cc,10-15 kmpl,10,1,1,0,2,2,0
Ford Freestyle Titanium Petrol BSIV,2020,400000.0,11500.0,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0,4.0,1000-1500cc,15-20 kmpl,4,3,1,1,2,0,1
Hyundai Verna VTVT 1.6 SX,2017,866000.0,37800.0,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,8.66,1500-2000cc,15-20 kmpl,7,3,1,1,0,1,1
Volkswagen Passat 1.8 TSI MT,2010,700000.0,114000.0,Petrol,Individual,Manual,First Owner,14.3,1798.0,147.9,5.0,7.0,1500-2000cc,10-15 kmpl,14,3,1,1,0,1,0
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000.0,48000.0,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0,3.0,1000-1500cc,15-20 kmpl,14,3,1,1,0,0,1
Mahindra XUV500 W11 Option AWD,2019,1200000.0,32000.0,Diesel,Individual,Manual,First Owner,15.1,2179.0,147.9,7.0,12.0,2000-2500cc,15-20 kmpl,5,1,1,1,0,2,1
Tata Indigo CS LS (TDI) BS-III,2016,375000.0,100000.0,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,3.75,1000-1500cc,15-20 kmpl,8,1,1,1,0,0,1
Hyundai Verna 1.6 SX,2013,522000.0,150000.0,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,5.22,1500-2000cc,20-25 kmpl,11,1,1,1,2,1,2
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999.0,69000.0,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,4.51999,1000-1500cc,20-25 kmpl,11,1,1,1,0,0,2
Toyota Corolla Altis G,2009,300000.0,100000.0,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0,3.0,1500-2000cc,10-15 kmpl,15,3,1,1,2,1,0
Maruti Celerio VXI,2020,475000.0,13000.0,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,4.75,<1000cc,20-25 kmpl,4,3,1,1,0,4,2
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000.0,60000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,7.8,1000-1500cc,20-25 kmpl,8,1,1,1,0,0,2
Maruti Swift Dzire VXI,2017,595000.0,40000.0,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,5.95,1000-1500cc,20-25 kmpl,7,3,1,1,0,0,2
Maruti Wagon R VXI BS IV,2017,440000.0,35000.0,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,4.4,<1000cc,20-25 kmpl,7,3,1,1,0,4,2
Nissan Terrano XL 85 PS,2014,400000.0,70000.0,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0,4.0,1000-1500cc,20-25 kmpl,10,1,1,1,4,0,2
Hyundai Creta 1.6 CRDi SX,2016,1140000.0,50000.0,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,11.4,1500-2000cc,15-20 kmpl,8,1,1,1,0,1,1
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000.0,76139.0,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,8.5,1000-1500cc,20-25 kmpl,7,1,1,1,0,0,2
Maruti Swift Dzire VDi,2012,370000.0,155000.0,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0,3.7,1000-1500cc,15-20 kmpl,12,1,1,1,1,0,1
Renault KWID 1.0,2018,350000.0,25000.0,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,3.5,<1000cc,20-25 kmpl,6,3,1,1,0,4,2
Maruti Celerio VXI,2015,360000.0,40000.0,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0,3.6,<1000cc,20-25 kmpl,9,3,1,1,2,4,2
Maruti Alto LXi,2008,110000.0,65000.0,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,47.3,5.0,1.1,<1000cc,15-20 kmpl,16,3,1,1,1,4,1
Maruti Ertiga VDI,2013,625000.0,90000.0,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,6.25,1000-1500cc,20-25 kmpl,11,1,1,1,2,0,2
Hyundai Santro Xing GLS,2009,135000.0,80000.0,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,1.35,1000-1500cc,15-20 kmpl,15,3,1,1,2,0,1
Maruti Ertiga VDI,2015,700000.0,110000.0,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,7.0,1000-1500cc,20-25 kmpl,9,1,1,1,2,0,2
Honda Amaze S i-VTEC,2019,690000.0,11500.0,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0,6.9,1000-1500cc,15-20 kmpl,5,3,0,1,0,0,1
Audi Q5 35TDI Premium Plus,2018,1200000.0,31800.0,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,147.9,5.0,12.0,1500-2000cc,15-20 kmpl,6,1,0,0,0,1,1
Lexus ES 300h,2019,1200000.0,20000.0,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,147.9,5.0,12.0,2000-2500cc,20-25 kmpl,5,3,0,0,0,2,2
Jaguar XF 2.0 Diesel Portfolio,2017,1200000.0,45000.0,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,147.9,5.0,12.0,1500-2000cc,15-20 kmpl,7,1,0,0,0,1,1
Jeep Wrangler 2016-2019 3.6 4X4,2017,1200000.0,17000.0,Petrol,Individual,Automatic,First Owner,9.5,3604.0,147.9,5.0,12.0,>3000cc,<10 kmpl,7,3,1,0,0,5,4
Land Rover Discovery Sport TD4 SE,2019,1200000.0,21000.0,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,147.9,7.0,12.0,1500-2000cc,10-15 kmpl,5,1,0,0,0,1,0
Mercedes-Benz S-Class S 350 CDI,2017,1200000.0,37000.0,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,147.9,5.0,12.0,2500-3000cc,10-15 kmpl,7,1,0,0,0,3,0
BMW 5 Series 520d Sport Line,2018,1200000.0,29500.0,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,147.9,5.0,12.0,1500-2000cc,20-25 kmpl,6,1,0,0,0,1,2
BMW X4 M Sport X xDrive20d,2019,1200000.0,11500.0,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,147.9,5.0,12.0,1500-2000cc,15-20 kmpl,5,1,0,0,0,1,1
Skoda Superb LK 1.8 TSI AT,2018,1200000.0,50000.0,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,147.9,5.0,12.0,1500-2000cc,10-15 kmpl,6,3,0,0,0,1,0
